YEAR,MONTH,PRCP,TAVG
2013,1,0.77,6.9
2013,2,1.37,8.6
2013,3,1.27,15.8
2013,4,0.92,31
2013,5,5.7,54.3
2013,6,4.14,64.8
2013,7,0.84,69.4
2013,8,1.09,68.1
2013,9,2.69,60.7
2013,10,2.16,42.6
2013,11,0.64,24.4
2013,12,0.97,-0.1
2014,1,0.73,-1.6
2014,2,0.43,-1.4
2014,3,0.92,14.7
2014,4,2.28,36.8
2014,5,2.45,53.3
2014,6,6.79,64.9
2014,7,2.37,66.1
2014,8,1.8,67.7
2014,9,2.19,58.2
2014,10,0.8,45.4
2014,11,0.33,19.4
2014,12,0.09,16.9
2015,1,0.53,10
2015,2,0.42,0.6
2015,3,0.48,27.9
2015,4,0.4,43.6
2015,5,4.15,54.3
2015,6,4,64.8
2015,7,5.37,69.7
2015,8,0.68,66.9
2015,9,1.69,62.8
2015,10,1.54,47.2
2015,11,1.5,33.2
2015,12,1,21.4
