,Year,Geography,Property Value,Household Income by Race
0,2015,United States,178600,53889
1,2015,Minnesota,186200,61492
2,2015,"Pennington County, MN",115200,47127
3,2015,"Polk County, MN",136700,53326
4,2015,"Red Lake County, MN",97800,50332
5,2015,"Anoka County, MN",205300,73382
6,2015,"Blue Earth County, MN",171100,48350
7,2015,"Carver County, MN",291800,92653
8,2015,"Dakota County, MN",237000,77196
9,2015,"Hennepin County, MN",250100,68935
10,2015,"Olmsted County, MN",182400,69973
11,2015,"Ramsey County, MN",207600,57384
12,2015,"Rice County, MN",185000,57323
13,2015,"St. Louis County, MN",146600,50124
14,2015,"Scott County, MN",275100,92506
15,2015,"Sherburne County, MN",198600,80088
16,2015,"Stearns County, MN",171600,55030
17,2015,"Washington County, MN",266700,87995
18,2015,"Wright County, MN",211100,76306
19,2014,United States,175700,53482
20,2014,Minnesota,185200,60828
21,2014,"Pennington County, MN",113400,47381
22,2014,"Polk County, MN",130500,51025
23,2014,"Red Lake County, MN",89200,47198
24,2013,United States,176700,53046
25,2013,Minnesota,187900,59836
26,2013,"Pennington County, MN",107900,45633
27,2013,"Polk County, MN",128100,50695
28,2013,"Red Lake County, MN",87800,47569
29,2013,"Anoka County, MN",178200,70800
30,2013,"Blue Earth County, MN",161300,51858
31,2013,"Carver County, MN",258600,82333
32,2013,"Dakota County, MN",218800,73475
33,2013,"Hennepin County, MN",221100,64379
34,2013,"Olmsted County, MN",172400,65665
35,2013,"Ramsey County, MN",187000,56734
36,2013,"Rice County, MN",166200,58584
37,2013,"St. Louis County, MN",136300,45895
38,2013,"Scott County, MN",244700,83173
39,2013,"Sherburne County, MN",183300,76036
40,2013,"Stearns County, MN",163900,57763
41,2013,"Washington County, MN",230800,80748
42,2013,"Wright County, MN",187800,71917
43,2014,"Anoka County, MN",188300,70915
44,2014,"Blue Earth County, MN",165500,48850
45,2014,"Carver County, MN",278900,83594
46,2014,"Dakota County, MN",225000,76213
47,2014,"Hennepin County, MN",228000,64433
48,2014,"Olmsted County, MN",174500,69731
49,2014,"Ramsey County, MN",197700,55101
50,2014,"Rice County, MN",195700,60527
51,2014,"St. Louis County, MN",134800,50040
52,2014,"Scott County, MN",257000,92107
53,2014,"Sherburne County, MN",191600,77532
54,2014,"Stearns County, MN",166200,56040
55,2014,"Washington County, MN",254400,83545
56,2014,"Wright County, MN",200900,77442
